outlet,author,rating,text,date_posted
Anytime Fitness Northpoint City,Chuin Ann,1,"I have been a member of this gym for 12 months, and my experience has been nothing short of disappointing. The facility is poorly maintained, with rusty equipment and chipped dumbbells that are not only unsightly but also a potential safety hazard. The gym plates are often dirty, adding to the overall lack of cleanliness. The uneven gym floor is another major issue, making it unsafe for workouts.

The poor air conditioning only adds to the discomfort, making the gym environment unbearable at times. Despite these glaring issues, the management shows no interest in maintaining the facility or addressing these concerns.

Additionally, their treatment of existing customers is extremely unsatisfactory. After my 12-month contract ended, I hoped to renew my membership at a better rate. Instead, I was informed that my membership auto-renews without any end, and they refused to offer me a better price, while new members are given promotional rates.

When I raised these concerns, the staff's response was dismissive, asking, ""how do you wish to go on about this,"" rather than offering any solutions. Ultimately, when I decided to terminate my membership, they showed no interest in retaining me as a customer and simply told me to send an email.

Overall, this gym does not value its members, and I cannot recommend it to anyone looking for a well-maintained facility and respectful customer service.",Date not found
Anytime Fitness Northpoint City,Bear Melon,5,"Good for all trainings
Machine: Hammer strength, Life fittness

Pros>
one of the largest branch
Top variation of machines
Many racks (7 racks!)
Shower room are above average
connected to Yishun MRT and bus terminal

Machines are well maintained, but too Old with rust
Far from city arbiter",Date not found
Anytime Fitness Northpoint City,Chili Red Arowana,1,"Indeed the reviews are true.. the machines are run down, like the cycle machine the seat feels not steady.. like 50% gonna come off hahaha… but it’s a big outlet, much more comfortable than Junction 9 in terms of space. But the crowd here means you can’t get the dumbbell that you want",Date not found
Anytime Fitness Northpoint City,Sanjeev,1,Gym equipments are filthy and rusty. Most of not all of the machines are outdated. Even gyms like those at bishan and amk has clean equipment with wireless charging,Date not found
Anytime Fitness Northpoint City,regina deang,1,"I have been to four AF outlets, and this is the only one where I felt humiliated. One of their staff members kicked me out simply for forgetting my key fob, despite being a member of their gym. I understand that I *may* not be allowed to enter without my key fob, but can this outlet at least be compassionate and polite when speaking to members about this? I’m not expecting to be treated like royalty, just as a decent human being with emotions.

Other gym brands have more convenient ways of accessing the gym, like logging in through their phone app. Additionally, other AF gym outlets are more considerate when members forget their key fob (note: it's not about being non-compliant, but about being considerate). I tried to raise this concern with their management, but I think they’re tone-deaf on the issue. They cannot even do a proper customer service response. It’s not like we’re going there to rob them.

I’m tired of the ""take it or leave it"" mentality. It was very frustrating that I had to wait two months to transfer to another gym with better customer service. It was also disappointing that I paid for an additional two months at this gym, only to be treated as though I should be grateful just to be a member of their “special gym”.

I’m glad I’m no longer a member. Best of luck to the current members or those who want to sign up.",Date not found
Anytime Fitness Northpoint City,csgo only,1,only good thing about here is the huge space they provide other than that the weights and machines are full of rust quality of the gym is horrendous.the toilets for male out of the 4 the other 3 of them is closed. machines are hard to adjust due to the rust and maintenance of this place is absolutely terrible,Date not found
Anytime Fitness Northpoint City,jaden,1,"Apart from the size of the gym, i cant seem to find any other way to compliment this gym. firstly, most of the equipment are old and worn out. Can tell maintenance of equipment is very poor. Air conditioning is weak, often very humid and warm inside. Toilets are very badly managed. Always have unpleasant smells. Most activesg gyms sadly clear this place.",Date not found
Anytime Fitness Northpoint City,Puteri Taksen,1,"ABSOLUTELY HORRIBLE EXPERIENCE OVERALL. Each time I walk in, I never feel valued as a member. I stopped coming because the place stinks and is always overcrowded. The club charged a claim against me and I find it ridiculous how they do not value their Members or who their Members are at all. I was a repeat Member from years ago, and have been to many outlets but this outlet is just beyond horrible.",Date not found
Anytime Fitness Northpoint City,Ernest See,2,"Having been to this gym for almost two years, there are a few things to take note:

The gym equipment, especially the plates are quite musty and almost sticky. Just by touching the plates alone and your hand would turn brown or black. There is also a relatively sourish stink from some of the machines, like the pec deck fly machine or the lateral raise machine. There are also faults on machines that I have raised before a month or two back, where there are cables that are tearing, especially in the seated leg curl machine. It has still not been fixed, and its almost 3 months already.

Next are random leaks around the gym. If you look up in the deeper areas of the gym away from the entrances, you can see that there are water pipes that running in the ceiling. Some of these pipes leak frequently, especially around the lateral raise machine or the sled leg press. There can be watermarks on the floor near those areas and sometimes on the machine when the staff have not wiped the stains off the machine.

Lastly, would be the air conditioning. Since it is a mall, the aircon is actually rather decent in the gym during from about 9am to 11pm. However, beyond those timings the airconditioning would be turned off. There has been multiple complaints to the management saying that this issue would be resolved, yet nothing has been done for literal years. I have came to gym in wee hours in the morning (around 5-6am) and holy crap the temperatures are unbearable. It also gets rather humid since there is no ventilation within the gym at all, and people that gym during those timings will be found camping around the fans that are around in the gym. If you would like to gym in the early hours, please do not come to this gym.

However, I would also like to say that the staff are rather friendly and kind especially with new gym-goers. They also provide Ajwa Dates during the Ramadan period for Muslims that are gymming near or after the break fast period, which is a good sign to see. There are also many toilets around, about 7 toilets with 6 of them with shower facilities. The water coolers there are also functional, although the one nearest to the vending machine only has room temperature water as the cooling is not effective or has broken down.",Date not found
Anytime Fitness Northpoint City,YQ Oh,2,This gym has a spacious floor area and wider range of equipment than most AF branches. Unfortunately it is let down by poor maintenance. The place has a moisture issue as the machines and weights were all rusty. The air was stagnant and stuffy leaving you damp. And all these are not surprising when you see the clogged up extraction vanes in the toilet and general lack of cleanliness and tidiness. This place could be much better with a revamp and some TLC from the management.,Date not found
Anytime Fitness Northpoint City,David Yap,1,"Poor maintenance of equipment:

1. 1 pair of 10KG ZIVA dumbbells missing since August 2020. Management has been citing delays as the cause with no updates on the replacement as of today.

2. Management cites upholstery in-progress since Year 2020. However,  come Year 2021, the 'in-progress' seems to have taken a standstill for unknown reasons.",Date not found
Anytime Fitness Northpoint City,Nur Nazirah,1,"Just visited the af at northpoint damn pretty disappointed with it. Staff were not friendly, equipment were rusty which understandable as it was used regularly however cloth that were used to be wiped is pretty dark…… and the toilet haizzz smells kinda bad… should have stay at the gym i sign up… :/",Date not found
Anytime Fitness Northpoint City,Juztin Png,1,"This is my return to join the gym after COVID. And I'm surprise how bad shape the gym is now compared to I first joined them just only about 3 yrs ago....

Still the same old space, pretty big and spacious. Not very crowded during off peak hrs. That's about all the good I can say...

Machines (especially treadmills) is always down and took them forever to fix (only putting up the same old notice of waiting for spare parts... Wondering did they even follow up with supplier since I joined back for 2 month plus, still the notice is there).
Most treadmill, their touchscreen is not even functioning at all...
Aircon in the gym is bad... Really bad... It totally not cooling at all and there isn't enough fans round. After 45 mins on treadmill, my shoes is soaked up with sweat (worst than I run outdoor).
Air is pretty stale and damp in the gym.

And I do agreed to most comments here that the staffs can be pretty rude. There is once I entered the gym, this male staff sitting in the office, just stand up,  give me a hand gesture (like calling a pet) to go into the office, just to check my key fob.
If any random check is required to be conducted, have your staff to at least walk to the office door and ask politely! Not using hand gesture like an officer instructing a criminal or a boss calling his subordinate to his office. He is not my boss or officer!

Toilet is old and appear mouldy... The shower heads is the worst. Therefore I usually just gym and go. Thankfully I'm staying nearby. Kind of regreted to rejoin this gym. Didn't expect the service, environment and management standards had plunge this much...",Date not found
Anytime Fitness Northpoint City,Sharon Kho,1,"Horrific and terrible service, don’t sign up here. You will regret it… they go all out to make it difficult for you to quit even when you have valid reason or medical issues. No compassion or empathy.",Date not found
Anytime Fitness Northpoint City,JY,1,"Ella is not doing any good to this organization. Frankly, she is totally not suitable to do sales.

I enquired about joining the gym as a friend referred. My friend told me he can get 1 month free if I join by quoting him. I found out that currently, Anytime Fitness is waiving off the joining fees. However, for the outlet in Nortpoint City, for them to honor one free month for my friend who referred, I have to pay joining fees.

I am upset as they are using my money to give one month free to my friend. This is totally not right.

To me, Ella couldn't handle objections. Doesn't even bother selling the benefits of the gym.

I really hope the owner can really consider if Ella is suitable for the job. Clearly, she is pushing customers away. There are so many other gyms in Singapore. If you don't show interests in having my business, you will lose it completely. Not only she gave Anytime Fitness Northpoint City a bad name, she doesn't represent Anytime Fitness well.

She made me totally don't want to consider joining Anytime Fitness. She made Anytime Fitness lose a customer who is ready and eager to join.

Seriously the management should really consider if she is suitable for the role. Frankly, she does not represent Anytime Fitness well. Any potential leads if handled by her will also turn cold.

Suggest the boss to use mystery shoppers to test the response of their staff. In this competitive world, not having the right sales personnel will be more damaging than not have any sales personnel.",Date not found
Anytime Fitness Northpoint City,Zhixin Lin,1,"Was a member of several months. Also visited several anytime branches over the course of my membership. Northpoint is the absolute worst gym I have ever visited. Staff are rude and highly unprofessional. Equipment is aged, chewed up, rusty, and sticky. Machines break often and are not repaired for months at a time. Terrible hygiene standards. And yet they wish to justify a price increase? Take your business elsewhere.",Date not found
Anytime Fitness Northpoint City,Jing Kai Kevin Lim,2,"The machines are worn off. The treadmills almost 40% are faulty waiting for repairs until now. For close to three weeks the equipments are not serviced. Things are rusty and old!

One of the big gym but fails to keep up with its maintenance!",Date not found
Anytime Fitness Northpoint City,Tim,1,"Asked for a free trial specifically to exercise with the equipments, and when I reached there I was suddenly told it was just a tour and not a trial. Made me waste time prepping the workout before and coming all the way down. Had to find another gym to do my workout that morning.

Granted it was a miscom, I was open to come back another day for a trial before signing up, but the saleperson that I spoke via text gave bad attitude and was not apologetic at all, and that it was me who didn't read the poster that he sent me for the trial timings. Like hello, I came mentioning for a trial explicitly, and you sidestepped it into just a tour instead. How can a new customer know what's the diff between a tour and trial if you don't even bother to explain, and say its ok to come down when I asked for a trial? And he still had the gall to say I could have just signed up on the spot, then can use the gym straightaway.

Very bad customer service.. Looking at the reviews here about how the management is rude to even their existing members, and how they don't bother to maintain the equipment, I am glad I had this encounter before I signed.

To the owner: if you value your revenue, keep tabs on your staff and make sure they treat people right. Its honestly amazing how your staff can turn a very ready prospective lead off to such an extent and lose a business. All the best",Date not found
Anytime Fitness Northpoint City,C K,1,".  Bad Air conditioning, it's like breathing each other breath.
- the monitor on the screen is always faulty.   I have to try different treadmill to find one that I could enter my Netflix login.
- Smelly and Dirty washrooms.
- Hair dryer cut off after less than a min, and can't switch it back on.
- Feedback to mgt some time ago, no improvement.

Seriously, mgt should have a visit at true fitness facilities.   I only sign up for the sake of 24hr here.",Date not found
Anytime Fitness Northpoint City,Shu Xian Tan,1,"Would have given them 0 stars if it was possible. Terrible smell (You can literally smell everyone’s sweat and feet from exercising in there), no air conditioning in the morning, dirty and old equipments that breaks down almost every single time.

Additionally, the cleaning staff constantly tries to open the female toilet door whenever it is occupied (no action done even after I filed a complaint stating that the male cleaning staff should have knocked or asked before attempting to open a closed female toilet door as a form of courtesy)

Ladies please do not join this gym.",Date not found
Anytime Fitness Northpoint City,dominicpoh,1,"Unfortunately, my worst experience as an AF member. Membership was transferred here since I moved around here; I’ve been with AF since 2017. Been to many outlets but this is the first time im leaving a negative review.

Pros
1. Location. Inside northpoint.
2. 6 racks.
3. Huge space.

Cons
1. Since it’s within a mall, I believe much of their aircon is dependent on the mall’s aircon source (?). For early gym goers like myself, the gym is a sauna. Many of us will be camping around fans in between sets lol.

2. Equipment. Spoilt. Rusty. Smelly. To name a few. One the machine was spoilt throughout the duration I’ve been a member with them (around 2 months). Some of the accessories at the cable machine is really… smelly

3. No customer service at all. I’m not usually particular about this but it really feels like the staffs there are “business-centric”. After joining, they straight away increased my membership price due to 8% GST though my previous outlet absorbed it lol. Received another email for price hike again this month. When I transferred to other outlets previously, l felt very welcomed, they even offered mini welcome gifts. Staffs will always smile and wave goodbye when you leave. Nothing of such here haha unless probably you know the staffs personally. In conclusion, very prompt in their finance management.

I usually mind my own business and gym, but the constant price hike really doesn’t justify the quality and service.",Date not found
Anytime Fitness Northpoint City,Jefferson Qiu,2,"Machines were good but it took a long time when there is any faulty ones. However, admins are not friendly. Asking for $10 if you ask for your own invoice! I have moved to 3 different AFs and this never happened before :(",Date not found
Anytime Fitness Northpoint City,S H,3,Gym is spacious but with rusty equipments… and I feel that the gym is quite unhygienic with cleaning close lying around wet. Better to prepare disposables ones.,Date not found
Anytime Fitness Northpoint City,Kayden N,1,"BOYCOTT THIS HORRIBLE & GREEDY gym management!!

#1 been with them since opening day in 2018/19 with the super early bird price of $68 which was communicated to us to be “lifetime rate unless lapsed”. In 2023 they just upped and sneakily increased all our membership prices to $85 stating “we can do that, it’s in your contract” FOR ALL THEIR MEMBERS WITHOUT EVEN PUTTING UP NOTICES/ REMINDERS. Basically they’re the only Anytime Fitness management in Singapore to raise their rates, and nothing we can do about it since out membership is already with them.
GREEDY MANAGEMENT WHO OBVIOUSLY CARE MORE ABOUT MONEY THAN THEIR MEMBERS.

#2 On multiple  occasions throughout the years they REFUSED ME ENTRY DURING OFFICE HOURS when I forgot to bring my key FOB. Like ?????? My photo, phone number and details are all with you. Why reject your own members when your staff are clearly not busy and gym is off-peak hours?

#3 Equipment all rusty -.-  health hazard.  Still want to sneakily raise everyone’s rates.

TLDR: stay away from this gym at all costs - greedy management, no care and concern for even their longest members.",Date not found
Anytime Fitness Northpoint City,bao bao,1,"Warm, poor ac
Rusty equipment
Poor lighting
Water dispenser not cold",Date not found
Anytime Fitness Northpoint City,404 bud,1,"paid so much just for the gym to not renovate, buy new gym equipments, fix the aircon/moisture problem, and MOST IMPORTANTLY why remove the Eleiko Bars??? i rejoin back just for the Eleiko bars to be removed…

so many members here paying $100+ and they cant even renovate it to look newer like the recent gyms.",Date not found
Anytime Fitness Northpoint City,Fadzhairi Abdul rashid,1,"Being an anytime fitness member for almost 10 years now. One of the worst gym that doesnt maintain cleanliness ever. Almost all the equipments are rusty,not maintained, smelly handles. Dont even understand why people say the gym is clean. Blind.  Dont believe? Come drop by and see for yourselves.",Date not found
Anytime Fitness Northpoint City,Christine Eng,1,"No aircon after 10.30pm, plates n machines are rusty and smelly. Road shows kept promoting membership but management has no intention of refurbishing the gym.

Pros: 24hr gym, spacious",Date not found
